               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10502,            0.014921,            0.066714,           0.0024198,            0.083333,           0.0020748,          0.00029013,             0.10072,            0.012729,             0.05894,              0.0982,              0.0002,              0.0002
                   1,             0.11666,            0.017702,            0.077395,           0.0045074,             0.16667,           0.0043883,          0.00058413,            0.097117,            0.013078,            0.058455,             0.09548,           0.0004802,           0.0004802
                   2,             0.11392,            0.016555,            0.073656,           0.0068864,              0.2619,           0.0063212,           0.0010832,            0.088515,            0.013763,            0.057566,            0.092737,          0.00073664,          0.00073664
                   3,             0.10108,            0.020312,            0.073049,           0.0077697,             0.32143,           0.0078778,           0.0012171,            0.078948,            0.014842,            0.056433,            0.089969,          0.00096932,          0.00096932
                   4,             0.09678,            0.024379,            0.069555,           0.0074793,             0.34524,           0.0078605,           0.0013222,            0.074024,            0.015781,            0.054421,            0.087178,           0.0011782,           0.0011782
                   5,            0.093249,            0.022984,            0.065366,           0.0083279,             0.42857,           0.0090739,            0.001893,            0.070268,             0.01636,            0.052308,            0.084363,           0.0013634,           0.0013634
                   6,              0.0876,            0.023738,            0.066363,           0.0090791,             0.52381,           0.0091919,           0.0023682,            0.066385,            0.016919,            0.049689,            0.081525,           0.0015248,           0.0015248
                   7,            0.086878,            0.031569,            0.062535,           0.0090283,             0.54762,            0.010794,           0.0030272,            0.064393,            0.017219,            0.047916,            0.078662,           0.0016624,           0.0016624
                   8,            0.075509,            0.026973,            0.058712,             0.01145,             0.82143,            0.024456,           0.0066783,            0.060446,            0.017504,            0.044452,            0.075776,           0.0017763,           0.0017763
                   9,            0.076114,            0.023659,            0.056179,            0.011619,             0.96429,            0.038855,            0.010798,            0.059509,            0.017753,            0.042474,            0.072866,           0.0018664,           0.0018664
                  10,            0.075776,            0.026072,            0.053143,             0.01023,                   1,             0.13369,            0.033155,            0.057286,            0.017955,            0.038739,            0.069933,           0.0019328,           0.0019328
                  11,             0.06757,            0.024354,            0.048151,           0.0095369,                   1,              0.2251,            0.060708,             0.05474,            0.018308,            0.036368,            0.066975,           0.0019754,           0.0019754
                  12,            0.070055,            0.031005,            0.047536,             0.18361,             0.65476,             0.37287,             0.10068,            0.054492,            0.017911,            0.033656,            0.063994,           0.0019942,           0.0019942
                  13,            0.063788,            0.034529,            0.045754,             0.22072,             0.20724,             0.38237,             0.10166,            0.051416,            0.017597,            0.031707,            0.060989,           0.0019893,           0.0019893
                  14,            0.066419,            0.033487,            0.041712,             0.19616,             0.46679,             0.35409,            0.094976,             0.05275,            0.016571,            0.029952,            0.057961,           0.0019606,           0.0019606
                  15,            0.061994,            0.030875,             0.04387,             0.29963,             0.64286,             0.30561,            0.097442,            0.048433,            0.016666,            0.029474,            0.054908,           0.0019082,           0.0019082
                  16,            0.063939,            0.030135,            0.041926,             0.24358,             0.59524,             0.25085,            0.074489,            0.050592,            0.015394,            0.028994,            0.051832,            0.001832,            0.001832
                  17,            0.059433,            0.025053,            0.040034,              0.1644,             0.89286,             0.25565,            0.086213,            0.047672,             0.01524,            0.029032,            0.048732,            0.001732,            0.001732
                  18,             0.05604,            0.020784,            0.035026,             0.27847,             0.67857,             0.33597,             0.11614,             0.04445,            0.015228,            0.028689,            0.045608,           0.0016083,           0.0016083
                  19,            0.060686,            0.022495,            0.038805,             0.16303,             0.89286,             0.20279,            0.075325,            0.051812,            0.014449,            0.028516,            0.042461,           0.0014608,           0.0014608
                  20,            0.057569,            0.024295,             0.03431,             0.31066,             0.82143,             0.53908,             0.17741,              0.0416,            0.014988,            0.028346,             0.03929,           0.0012896,           0.0012896
                  21,             0.05712,            0.030418,            0.038925,             0.30919,             0.78571,             0.53633,             0.19836,            0.044819,            0.014329,            0.028278,            0.036095,           0.0010946,           0.0010946
                  22,            0.048131,            0.019971,            0.032441,             0.30098,             0.79762,             0.41165,             0.12473,            0.041947,            0.014629,            0.028139,            0.032876,          0.00087584,          0.00087584
                  23,            0.050686,            0.019421,             0.03641,             0.34174,             0.82143,             0.55928,             0.21336,            0.038846,            0.014476,            0.028022,            0.029633,          0.00063332,          0.00063332
                  24,            0.052116,            0.024492,            0.034065,             0.32881,             0.82143,             0.56205,              0.2315,            0.038646,            0.014417,            0.027841,            0.026367,          0.00036704,          0.00036704
